"payment_id","loan_id","paymant_amount","payment_date","payment_method","status"
"1","440","8776.54","2024-08-25","Bank Transfer","Completed"
"2","420","7509.96","2024-03-27","PayPal","Pending"
"3","885","4908.8","2024-09-10","Bank Transfer","Pending"
"4","994","3606.08","2024-01-25","Credit Card","Failed"
"5","311","4964.04","2024-09-28","Debit Card","Failed"
"6","715","1569.91","2024-09-12","Bank Transfer","Pending"
"7","597","2860.06","2024-08-02","PayPal","Pending"
"8","710","3954","2024-02-11","PayPal","Pending"
"9","783","4416.17","2024-05-07","Credit Card","Completed"
"10","172","2075.93","2024-02-20","Debit Card","Failed"
"11","40","4789.21","2024-02-20","Credit Card","Pending"
"12","539","4873.99","2024-08-25","Cash","Pending"
"13","706","3367.63","2024-05-20","Debit Card","Failed"
"14","114","3347.81","2024-05-20","Cash","Failed"
"15","3","4111.64","2023-12-05","Bank Transfer","Pending"
"16","579","2874.07","2023-10-09","Cash","Pending"
"17","883","9172.41","2024-03-11","Cash","Pending"
"18","284","1872.82","2024-03-14","Bank Transfer","Completed"
"19","607","1315.08","2024-06-23","Credit Card","Failed"
"20","949","9213.42","2024-06-15","PayPal","Pending"
"21","937","2835.89","2023-12-21","Debit Card","Completed"
"22","185","3757.61","2024-07-01","Credit Card","Failed"
"23","512","5794.98","2024-03-12","Credit Card","Completed"
"24","1","7565.67","2024-02-20","Bank Transfer","Pending"
"25","229","869.73","2024-08-09","Debit Card","Pending"
"26","528","2795.42","2024-05-13","Bank Transfer","Failed"
"27","344","4111.17","2023-11-06","Credit Card","Failed"
"28","952","3899.43","2024-02-22","Debit Card","Failed"
"29","892","6231.75","2024-05-17","Cash","Failed"
"30","321","3863.87","2024-04-01","Cash","Completed"
"31","704","6923.01","2023-12-22","PayPal","Completed"
"32","855","5860.89","2024-03-28","Bank Transfer","Pending"
"33","277","4865.96","2024-09-16","PayPal","Completed"
"34","407","2225.76","2024-09-15","Debit Card","Failed"
"35","571","9386.88","2024-09-29","Bank Transfer","Completed"
"36","356","4830.47","2024-08-15","Credit Card","Completed"
"37","500","1351.51","2023-11-10","PayPal","Failed"
"38","201","4026.63","2024-05-06","Bank Transfer","Failed"
"39","294","9183.04","2024-06-16","Credit Card","Failed"
"40","950","7670.48","2024-03-28","PayPal","Pending"
"41","662","3473.68","2024-02-02","Cash","Pending"
"42","538","4015.76","2024-02-06","Cash","Completed"
"43","520","5170.05","2023-12-22","Credit Card","Completed"
"44","12","7958.33","2024-09-02","PayPal","Failed"
"45","922","206.37","2024-02-02","Cash","Completed"
"46","6","2855.58","2024-07-02","Credit Card","Completed"
"47","436","1467.16","2023-10-08","Bank Transfer","Completed"
"48","614","7190.17","2023-10-27","Cash","Failed"
"49","809","3017.85","2024-09-06","Debit Card","Failed"
"50","938","1463.26","2024-06-28","Credit Card","Pending"
"51","442","536.15","2024-04-08","Credit Card","Failed"
"52","345","2613.85","2024-05-03","Debit Card","Failed"
"53","567","9032.34","2023-10-30","Cash","Failed"
"54","431","2317.61","2024-03-23","Debit Card","Completed"
"55","412","6387.63","2024-04-11","Debit Card","Completed"
"56","674","1085.03","2023-10-28","Cash","Pending"
"57","307","724.12","2023-12-13","Bank Transfer","Completed"
"58","736","6891.48","2024-02-10","Bank Transfer","Pending"
"59","696","5641.2","2024-09-14","Bank Transfer","Pending"
"60","573","8067.79","2024-04-06","Debit Card","Pending"
"61","720","2930.36","2023-11-12","Credit Card","Pending"
"62","795","5843.23","2024-06-28","Cash","Completed"
"63","876","6384.21","2024-07-21","Credit Card","Pending"
"64","675","5716.76","2024-09-18","Bank Transfer","Completed"
"65","728","2879.31","2023-12-30","Bank Transfer","Completed"
"66","613","9053.49","2024-03-16","Credit Card","Failed"
"67","250","4863.62","2023-12-26","PayPal","Failed"
"68","548","7545.58","2023-10-18","Debit Card","Completed"
"69","497","6564.63","2023-11-06","Debit Card","Completed"
